customer_id,signup_date,region,segment,age,email
CUST-118,2025-07-04,North,Loyal,65,customer118@example.com
CUST-119,2025-11-15,East,Regular,23,customer119@example.com
CUST-120,2025-07-27,East,Loyal,48,customer120@example.com
CUST-121,2025-03-18,West,At Risk,41,customer121@example.com
CUST-122,2025-01-03,East,Regular,57,customer122@example.com
CUST-123,2025-10-30,East,Regular,43,customer123@example.com
CUST-124,2025-07-21,East,New,29,customer124@example.com
CUST-125,2025-05-16,East,New,49,customer125@example.com
CUST-126,2025-01-29,East,Loyal,31,customer126@example.com
CUST-127,2025-09-08,South,New,40,customer127@example.com
CUST-128,2025-06-14,East,At Risk,29,customer128@example.com
CUST-129,2025-07-05,South,Regular,26,customer129@example.com
CUST-130,2025-01-28,East,Regular,27,customer130@example.com
CUST-131,2025-01-18,South,At Risk,59,customer131@example.com
CUST-132,2025-07-19,East,Regular,28,customer132@example.com
CUST-133,2025-03-03,South,Regular,36,customer133@example.com
CUST-134,2025-08-10,South,Regular,25,customer134@example.com
CUST-135,2025-08-23,East,Regular,45,customer135@example.com
CUST-136,2025-10-27,East,At Risk,31,customer136@example.com
CUST-137,2025-10-16,South,New,49,customer137@example.com
CUST-138,2025-07-01,West,Loyal,32,customer138@example.com
CUST-139,2025-02-22,West,Loyal,59,customer139@example.com
CUST-140,2025-01-19,West,New,41,customer140@example.com
CUST-141,2025-01-23,North,New,29,customer141@example.com
CUST-142,2025-04-05,West,Loyal,67,customer142@example.com
CUST-143,2025-06-04,North,Regular,39,customer143@example.com
CUST-144,2025-05-05,North,Regular,31,customer144@example.com
CUST-145,2025-02-07,South,New,26,customer145@example.com
CUST-146,2025-10-03,North,Loyal,48,customer146@example.com
CUST-147,2025-10-11,South,New,40,customer147@example.com
CUST-148,2025-07-29,East,Regular,,customer148@example.com
CUST-149,2025-08-14,East,At Risk,35,customer149@example.com
CUST-150,2025-07-28,East,Regular,50,customer150@example.com
CUST-151,2025-03-12,North,Loyal,50,customer151@example.com
CUST-152,2025-11-16,North,At Risk,67,customer152@example.com
CUST-153,2025-02-16,west ,Regular,22,customer153@example.com
CUST-154,2025-06-15,South,Regular,29,customer154@example.com
CUST-155,2025-09-09,East,New,40,customer155@example.com
CUST-156,2025-09-06,South,Regular,29,customer156@example.com
CUST-157,2025-04-20,West,Regular,35,customer157@example.com
CUST-158,2025-09-02,West,Loyal,57,customer158@example.com
CUST-159,2025-09-13,North,Regular,24,customer159@example.com
CUST-160,2025-01-21,West,New,21,customer160@example.com
CUST-161,2025-06-17,South,Regular,29,customer161@example.com
CUST-162,2025-05-30,West,Regular,57,customer162@example.com
CUST-163,2025-03-15,West,At Risk,57,customer163@example.com
CUST-164,2025-04-15,South,Loyal,23,customer164@example.com
CUST-165,2025-06-29,East,Regular,63,customer165@example.com
CUST-166,2025-07-17,West,Regular,24,customer166@example.com
CUST-167,2025-06-19,East,Loyal,52,customer167@example.com
CUST-168,2025-01-01,East,Loyal,22,customer168@example.com
CUST-169,2025-09-07,North,Regular,61,customer169@example.com
CUST-170,2025-07-26,South,Loyal,40,customer170@example.com
CUST-171,2025-03-19,North,At Risk,20,customer171@example.com
CUST-172,2025-08-29,North,Regular,37,customer172@example.com
CUST-173,2025-05-16,North,New,42,customer173@example.com
CUST-174,2025-06-30,East,Loyal,34,customer174@example.com
CUST-175,2025-02-23,West,New,36,customer175@example.com
CUST-176,2025-01-23,East,Loyal,38,customer176@example.com
CUST-177,2025-07-02,North,Regular,46,customer177@example.com
CUST-178,2025-05-03,East,At Risk,52,customer178@example.com
CUST-179,2025-07-27,North,Loyal,42,customer179@example.com
CUST-180,2025-10-17,North,Loyal,44,customer180@example.com
